id_goleador,anio,id_seleccion,pais,jugador,goles,partidos,promedio
1,2018,44,Inglaterra,Harry Kane,6,6,1.0
2,2018,69,Rusia,Denis Cheryshev,4,5,0.8
3,2018,36,Francia,Antoine Griezmann,4,7,0.57
4,2018,13,Bélgica,Romelu Lukaku,4,6,0.67
5,2018,36,Francia,Kylian Mbappé,4,7,0.57
6,2018,65,Portugal,Cristiano Ronaldo,4,4,1.0
7,2018,80,Uruguay,Edinson Cavani,3,4,0.75
8,2018,34,España,Diego Costa,3,4,0.75
9,2018,69,Rusia,Artem Dzyuba,3,5,0.6
10,2018,13,Bélgica,Eden Hazard,3,6,0.5
11,2018,24,Croacia,Mario Mandzukic,3,6,0.5
12,2018,19,Colombia,Yerry Mina,3,3,1.0
13,2018,24,Croacia,Ivan Perisic,3,7,0.43
14,2018,6,Argentina,Sergio Agüero,2,4,0.5
15,2018,73,Suecia,Andreas Granqvist,2,5,0.4
16,2018,53,Japón,Takashi Inui,2,4,0.5
17,2018,7,Australia,Mile Jedinak,2,3,0.67
18,2018,78,Túnez,Wahbi Khazri,2,3,0.67
19,2018,24,Croacia,Luka Modric,2,7,0.29
20,2018,57,Nigeria,Ahmed Musa,2,3,0.67
21,2018,11,Brasil,Neymar Jr.,2,5,0.4
22,2018,11,Brasil,Philippe Coutinho,2,5,0.4
23,2018,28,Egipto,Mohamed Salah,2,2,1.0
24,2018,21,Corea del Sur,Heung-Min Son,2,3,0.67
25,2018,44,Inglaterra,John Stones,2,7,0.29
26,2018,80,Uruguay,Luis Suarez,2,5,0.4
27,2018,4,Arabia Saudita,Salem Al-Dawsari,1,3,0.33
28,2018,4,Arabia Saudita,Salman Al-Faraj,1,3,0.33
29,2018,44,Inglaterra,Dele Alli,1,5,0.2
30,2018,48,Irán,Karim Ansarifard,1,3,0.33
31,2018,34,España,Iago Aspas,1,3,0.33
32,2018,73,Suecia,Ludwig Augustinsson,1,5,0.2
33,2018,24,Croacia,Milan Badelj,1,3,0.33
34,2018,61,Panamá,Felipe Baloy,1,1,1.0
35,2018,13,Bélgica,Michy Batshuayi,1,3,0.33
36,2018,64,Polonia,Jan Bednarek,1,3,0.33
37,2018,78,Túnez,Fakhreddine Ben Youssef,1,3,0.33
38,2018,55,Marruecos,Khalid Boutaïb,1,2,0.5
39,2018,78,Túnez,Dylan Bronn,1,2,0.5
40,2018,63,Perú,André Carrillo,1,3,0.33
41,2018,13,Bélgica,Nacer Chadli,1,6,0.17
42,2018,19,Colombia,Juan Guillermo Cuadrado,1,4,0.25
43,2018,13,Bélgica,Kevin De Bruyne,1,6,0.17
44,2018,6,Argentina,Angel Di Maria,1,3,0.33
45,2018,74,Suiza,Josip Drmic,1,3,0.33
46,2018,74,Suiza,Blerim Dzemaili,1,4,0.25
47,2018,55,Marruecos,Youssef En-Nesyri,1,1,1.0
48,2018,26,Dinamarca,Christian Eriksen,1,4,0.25
49,2018,19,Colombia,Radamel Falcao,1,4,0.25
50,2018,13,Bélgica,Marouane Fellaini,1,5,0.2
51,2018,69,Rusia,Mário Fernandes,1,5,0.2
52,2018,49,Islandia,Alfred Finnbogason,1,3,0.33
53,2018,73,Suecia,Emil Forsberg,1,5,0.2
54,2018,69,Rusia,Yury Gazinsky,1,4,0.25
55,2018,80,Uruguay,José María Giménez,1,4,0.25
56,2018,69,Rusia,Aleksandr Golovin,1,4,0.25
57,2018,63,Perú,Paolo Guerrero,1,3,0.33
58,2018,53,Japón,Genki Haraguchi,1,3,0.33
59,2018,56,México,Javier Hernandez,1,4,0.25
60,2018,53,Japón,Keisuke Honda,1,3,0.33
61,2018,34,España,Isco,1,4,0.25
62,2018,13,Bélgica,Adnan Januzaj,1,1,1.0
63,2018,26,Dinamarca,Mathias Jørgensen,1,3,0.33
64,2018,53,Japón,Shinji Kagawa,1,3,0.33
65,2018,21,Corea del Sur,Young-Gwon Kim,1,3,0.33
66,2018,71,Serbia,Aleksandar Kolarov,1,3,0.33
67,2018,24,Croacia,Andrej Kramarić,1,7,0.14
68,2018,1,Alemania,Toni Kroos,1,3,0.33
69,2018,64,Polonia,Grzegorz Krychowiak,1,3,0.33
70,2018,44,Inglaterra,Jesse Lingard,1,6,0.17
71,2018,56,México,Hirving Lozano,1,4,0.25
72,2018,44,Inglaterra,Harry Maguire,1,7,0.14
73,2018,70,Senegal,Sadio Mané,1,3,0.33
74,2018,6,Argentina,Gabriel Mercado,1,3,0.33
75,2018,13,Bélgica,Dries Mertens,1,6,0.17
76,2018,6,Argentina,Lionel Messi,1,4,0.25
77,2018,13,Bélgica,Thomas Meunier,1,5,0.2
78,2018,71,Serbia,Aleksandar Mitrović,1,3,0.33
79,2018,57,Nigeria,Victor Moses,1,3,0.33
80,2018,34,España,Nacho,1,2,0.5
81,2018,70,Senegal,M'Baye Niang,1,3,0.33
82,2018,53,Japón,Yuya Osako,1,4,0.25
83,2018,11,Brasil,Paulinho,1,5,0.2
84,2018,36,Francia,Benjamin Pavard,1,6,0.17
85,2018,65,Portugal,Pepe,1,4,0.25
86,2018,36,Francia,Paul Pogba,1,6,0.17
87,2018,65,Portugal,Ricardo Quaresma,1,3,0.33
88,2018,19,Colombia,Juan Quintero,1,4,0.25
89,2018,24,Croacia,Ivan Rakitic,1,7,0.14
90,2018,24,Croacia,Ante Rebic,1,6,0.17
91,2018,11,Brasil,Renato Augusto,1,3,0.33
92,2018,1,Alemania,Marco Reus,1,3,0.33
93,2018,11,Brasil,Roberto Firmino,1,4,0.25
94,2018,6,Argentina,Marcos Rojo,1,3,0.33
95,2018,78,Túnez,Ferjani Sassi,1,3,0.33
96,2018,74,Suiza,Xherdan Shaqiri,1,4,0.25
97,2018,49,Islandia,Gylfi Sigurdsson,1,3,0.33
98,2018,11,Brasil,Thiago Silva,1,5,0.2
99,2018,73,Suecia,Ola Toivonen,1,5,0.2
100,2018,44,Inglaterra,Kieran Trippier,1,6,0.17
101,2018,36,Francia,Samuel Umtiti,1,6,0.17
102,2018,36,Francia,Raphael Varane,1,7,0.14
103,2018,56,México,Carlos Vela,1,4,0.25
104,2018,13,Bélgica,Jan Vertonghen,1,6,0.17
105,2018,24,Croacia,Domagoj Vida,1,6,0.17
106,2018,70,Senegal,Moussa Wagué,1,3,0.33
107,2018,22,Costa Rica,Kendall Waston,1,1,1.0
108,2018,74,Suiza,Granit Xhaka,1,4,0.25
109,2018,26,Dinamarca,Yussuf Yurary Poulsen,1,3,0.33
110,2018,74,Suiza,Steven Zuber,1,3,0.33
